filename,width,height,class,xmin,ymin,xmax,ymax
HCZ_HFGTNZ_20180621_10001.jpg,801,406,plasticcup,259,63,355,118
HCZ_HFGTNZ_20180621_10001.jpg,801,406,smallelectronicequipmen,73,74,163,122
HCZ_HFGTNZ_20180621_10001.jpg,801,406,glassbottle,703,165,757,244
HCZ_HFGTNZ_20180621_10003.jpg,801,469,metalcup,410,207,532,289
HCZ_HFGTNZ_20180621_10003.jpg,801,469,umbrella,306,214,373,384
HCZ_HFGTNZ_20180621_10003.jpg,801,469,smallelectronicequipmen,476,279,525,379
HCZ_HFGTNZ_20180621_10004.jpg,801,374,winebottle,1,84,144,139
HCZ_HFGTNZ_20180621_10004.jpg,801,374,umbrella,414,230,566,341
HCZ_HFGTNZ_20180621_10004.jpg,801,374,smallelectronicequipmen,385,165,450,271
HCZ_HFGTNZ_20180621_10004.jpg,801,374,powerbank,376,159,405,223
HCZ_HFGTNZ_20180621_10005.jpg,801,540,metalcup,374,359,487,480
HCZ_HFGTNZ_20180621_10005.jpg,801,540,glassbottle,99,173,189,313
HCZ_HFGTNZ_20180621_10005.jpg,801,540,drinkbottle,405,347,588,505
HCZ_HFGTNZ_20180621_10006.jpg,801,361,drinkbottle,110,215,171,320
HCZ_HFGTNZ_20180621_10006.jpg,801,361,smallelectronicequipmen,337,193,370,243
HCZ_HFGTNZ_20180621_10006.jpg,801,361,laptop,738,39,792,312
HCZ_HFGTNZ_20180621_10008.jpg,801,476,umbrella,687,111,797,218
HCZ_HFGTNZ_20180621_10008.jpg,801,476,glassbottle,2,144,93,198
HCZ_HFGTNZ_20180621_10008.jpg,801,476,laptop,593,139,797,344
HCZ_HFGTNZ_20180621_10009.jpg,801,452,laptop,308,55,556,287
HCZ_HFGTNZ_20180621_10009.jpg,801,452,glassbottle,606,68,687,182
HCZ_HFGTNZ_20180621_10009.jpg,801,452,umbrella,526,164,635,289
HCZ_HFGTNZ_20180621_10010.jpg,801,382,umbrella,312,30,405,169
HCZ_HFGTNZ_20180621_10010.jpg,801,382,laptop,556,149,728,339
HCZ_HFGTNZ_20180621_10010.jpg,801,382,metalcup,522,232,580,328
HCZ_HFGTNZ_20180621_10010.jpg,801,382,smallelectronicequipmen,51,135,151,234
HCZ_HFGTNZ_20180621_10011.jpg,801,381,powerbank,504,161,610,223
HCZ_HFGTNZ_20180621_10011.jpg,801,381,smallelectronicequipmen,509,209,604,255
HCZ_HFGTNZ_20180621_10011.jpg,801,381,glassbottle,168,126,202,171
HCZ_HFGTNZ_20180621_10011.jpg,801,381,glassbottle,127,171,176,215
HCZ_HFGTNZ_20180621_10011.jpg,801,381,glassbottle,96,189,143,231
HCZ_HFGTNZ_20180621_10012.jpg,801,397,drinkbottle,401,32,462,164
HCZ_HFGTNZ_20180621_10014.jpg,801,381,umbrella,631,37,681,225
HCZ_HFGTNZ_20180621_10015.jpg,801,400,drinkbottle,73,171,128,281
HCZ_HFGTNZ_20180621_10015.jpg,801,400,drinkbottle,86,273,188,370
HCZ_HFGTNZ_20180621_10015.jpg,801,400,umbrella,398,95,451,246
HCZ_HFGTNZ_20180621_10016.jpg,801,453,umbrella,463,62,513,218
HCZ_HFGTNZ_20180621_10016.jpg,801,453,drinkbottle,374,217,505,303
HCZ_HFGTNZ_20180621_10016.jpg,801,453,powerbank,453,114,494,200
HCZ_HFGTNZ_20180621_10017.jpg,775,568,glassbottle,117,51,157,117
HCZ_HFGTNZ_20180621_10017.jpg,775,568,glassbottle,153,57,195,139
HCZ_HFGTNZ_20180621_10017.jpg,775,568,umbrella,381,389,538,459
HCZ_HFGTNZ_20180621_10017.jpg,775,568,glassbottle,387,418,516,509
